model,prediction_window,test_df_control_ratio,NA_removal_threshold,train_auc,train_auprc,train_recall,train_precision,train_f1,train_accuracy,test_auc,test_auprc,test_recall,test_precision,test_f1,test_accuracy
lr_iterativeimpute,180,2,80,0.9621659476786832,0.9443877850714042,0.7998997851914892,0.9257341582436607,0.9132632539761647,0.9132632539761647,0.8150539356320082,0.7212532478350742,0.9762486126526082,0.3554513860825992,0.40199778024417315,0.40199778024417315
lgbm,180,2,80,0.980867523723214,0.9703891726579765,0.8753543855661197,0.9388714393569855,0.9403890713040803,0.9403890713040803,0.8789370794073916,0.8062195078968694,0.9806881243063263,0.3710110849848841,0.4393636699963004,0.4393636699963004
xgb,180,2,80,0.9805872714887749,0.9701409405564525,0.8739998264706534,0.9399982708160188,0.9403396778827557,0.9403396778827557,0.8352067563356044,0.753767157828811,0.9784683684794673,0.3649913057878612,0.4253792082870884,0.4253792082870884
lgb_iterativeimpute,180,2,80,0.9787174813554658,0.9674220992726382,0.8657219047848019,0.9379786143443423,0.9371455012037299,0.9371455012037299,0.85054743711821,0.7508616834278956,0.9809100998890122,0.3680966264056643,0.43233444321124676,0.43233444321124676
xgb_iterativeimpute,180,2,80,0.9786295205785995,0.9673387002587377,0.8624358198902707,0.939600561804631,0.9366597902587837,0.9366597902587837,0.8362884007287501,0.7543366083624286,0.978912319644839,0.3614754098360656,0.4165741768405475,0.41657417684054754
lgbm-threshold-90,180,2,80,0.9807125347386665,0.9702026758170568,0.7014859197626515,0.9939996441160706,0.9006429639402393,0.9006429639402393,0.8789370794073916,0.8062195078968694,0.9025527192008879,0.5538754938019343,0.7251942286348503,0.7251942286348502
lgbm-threshold-85,180,2,80,0.9807125347386665,0.9702026758170568,0.7435033141225506,0.9900233250786905,0.913362046918357,0.913362046918357,0.8789370794073916,0.8062195078968694,0.9356270810210877,0.5,0.6666666666666666,0.6666666666666666
lgbm-threshold-80,180,2,80,0.9807125347386665,0.9702026758170568,0.771948992372983,0.9857970295782816,0.9215039067870987,0.9215039067870987,0.8789370794073916,0.8062195078968694,0.951165371809101,0.4635940711890079,0.6168701442841288,0.6168701442841288
lgbm-threshold-75,180,2,80,0.9807125347386665,0.9702026758170568,0.7956306745156094,0.9805441012013565,0.9277440744593604,0.9277440744593604,0.8789370794073916,0.8062195078968694,0.9620421753607103,0.43658708572579835,0.573510913799482,0.573510913799482
lgbm-threshold-75-calibrated,180,2,80,0.9804015980059746,0.9694938465307513,0.804910224704634,0.9768571130503101,0.9297116259967575,0.9297116259967575,0.8766824381837419,0.7917116738639949,0.9667036625971143,0.4196376951243014,0.5432482426933037,0.5432482426933037
